a, COCA/CET/HS
novelty, GRE/COCA/CET/TOEFL
november, CET
now, COCA/CET/HS
nowadays, COCA/CET/HS
nowhere, COCA/CET/HS
nuclear, COCA/CET/HS/TOEFL
nucleus, GRE/COCA/CET/TOEFL
nude, GRE/COCA/CET
nudity, COCA/CET
nuisance, COCA/CET
numb, HS/GRE/COCA/CET/TOEFL
number, COCA/CET/HS
numerical, COCA/CET
numerous, GRE/COCA/CET/TOEFL
nurse, COCA/CET/HS
nursery, COCA/CET/HS
nurture, GRE/COCA/CET/TOEFL
nut, COCA/CET/HS
nutrition, HS/GRE/COCA/CET/TOEFL
nutrient, GRE/COCA/CET/TOEFL
oak, GRE/COCA/CET/TOEFL
oar, GRE/COCA/CET
oath, GRE/COCA/CET/TOEFL
obese, GRE/COCA/CET
obesity, COCA/CET
obey, COCA/CET/HS
obedient, GRE/COCA/CET
obedience, COCA/CET/TOEFL
object, COCA/CET/HS
objection, GRE/COCA/CET
objective, GRE/COCA/CET/TOEFL
oblige, GRE/COCA/CET
obligation, GRE/COCA/CET
obliged, CET
obligatory, GRE/COCA/CET/TOEFL
obscene, COCA/CET/TOEFL
obscenity, COCA/CET
obscure, GRE/COCA/CET/TOEFL
obscurity, GRE/COCA/CET
observatory, GRE/COCA/CET
observe, COCA/CET/HS/TOEFL
observation, COCA/CET/TOEFL
observer, COCA/CET
observant, GRE/COCA/CET
obsess, GRE/COCA/CET/TOEFL
obsession, GRE/COCA/CET
obsessive, GRE/COCA/CET
obstacle, GRE/COCA/CET/TOEFL
obstruct, GRE/COCA/CET/TOEFL
obstruction, GRE/COCA/CET
obtain, COCA/CET/HS/TOEFL
obtainment, CET
obvious, HS/GRE/COCA/CET/TOEFL
obviously, COCA/CET
occasion, COCA/CET
occasional, COCA/CET/TOEFL
occasionally, COCA/CET
occupation, GRE/COCA/CET/HS
occupational, COCA/CET
occupy, COCA/CET/HS/TOEFL
occupancy, COCA/CET
occupant, COCA/CET
occur, COCA/CET/HS/TOEFL
occurrence, GRE/COCA/CET
ocean, COCA/CET/HS
oceanic, COCA/CET
o'clock, COCA/CET/HS
october, CET
odd, COCA/CET/TOEFL
oddity, COCA/CET
odds, GRE/COCA/CET
odor, COCA/CET/TOEFL
odour, CET
odorous, CET
of, COCA/CET/HS
off, COCA/CET/HS
offend, GRE/COCA/CET
offense, COCA/CET
offence, CET/HS
offensive, GRE/COCA/CET/TOEFL
offender, COCA/CET
offer, COCA/CET/HS/TOEFL
offering, COCA/CET
office, COCA/CET/HS
officer, COCA/CET/HS
official, COCA/CET/HS
offset, GRE/COCA/CET
offspring, GRE/COCA/CET/TOEFL
often, COCA/CET/HS
oftentimes, COCA/CET
oil, COCA/CET/HS
oily, COCA/CET
okay, COCA/CET
old, COCA/CET/HS
old-fashioned, COCA/CET
olive, COCA/CET
olympic, CET
omit, GRE/COCA/CET/TOEFL
olympics, CET
olympiad, CET
omission, COCA/CET
on, COCA/CET/HS
once, COCA/CET/HS
one, COCA/CET/HS
oneself, COCA/CET/HS
ongoing, COCA/CET
onion, COCA/CET/HS
online, COCA/CET
only, COCA/CET/HS
onset, GRE/COCA/CET/TOEFL
onto, COCA/CET/HS
onward, COCA/CET
opaque, GRE/COCA/CET/TOEFL
open, COCA/CET/HS
opener, COCA/CET
opening, COCA/CET/HS
openly, COCA/CET
opera, COCA/CET/HS/TOEFL
operate, COCA/CET/HS/TOEFL
operation, COCA/CET/HS
operational, COCA/CET
operator, COCA/CET/HS/TOEFL
operative, GRE/COCA/CET
opinion, COCA/CET/HS
opportunity, COCA/CET/TOEFL
oppose, HS/GRE/COCA/CET/TOEFL
opposition, COCA/CET
opponent, GRE/COCA/CET/TOEFL
opposite, COCA/CET/HS/TOEFL
oppress, GRE/COCA/CET
oppression, COCA/CET
oppressive, COCA/CET
opt, COCA/CET
option, COCA/CET/TOEFL
optional, GRE/COCA/CET/HS
optic, COCA/CET
optical, COCA/CET/TOEFL
optimism, GRE/COCA/CET
optimistic, COCA/CET/HS/TOEFL
optimist, GRE/COCA/CET
optimum, GRE/COCA/CET/TOEFL
optimal, COCA/CET/TOEFL
or, COCA/CET/HS
oral, COCA/CET/HS/TOEFL
orange, COCA/CET/HS
orbit, COCA/CET/HS/TOEFL
orbital, COCA/CET
orchestra, GRE/COCA/CET/TOEFL
ordeal, GRE/COCA/CET/TOEFL
order, COCA/CET/HS
orderly, COCA/CET
ordinary, COCA/CET/HS
ore, GRE/COCA/CET/TOEFL
organ, COCA/CET/HS
organic, COCA/CET/TOEFL
organism, GRE/COCA/CET/TOEFL
organize, COCA/CET/HS
organise, CET/HS
organization, COCA/CET/HS
organisation, CET/HS
organizational, COCA/CET
organisational, CET
orient, GRE/COCA/CET
orientation, COCA/CET/TOEFL
oriental, COCA/CET
origin, COCA/CET/HS
ornament, COCA/CET/TOEFL
orphan, COCA/CET
orthodox, GRE/COCA/CET
other, COCA/CET/HS
otherwise, COCA/CET/HS
ought to, CET
ounce, CET
our, COCA/CET/HS
ours, COCA/CET/HS
ourselves, COCA/CET/HS
out, COCA/CET/HS
outbreak, COCA/CET
outcome, COCA/CET/HS/TOEFL
outdated, COCA/CET
original, GRE/COCA/CET/TOEFL
ornamental, COCA/CET
orphanage, COCA/CET
originality, GRE/COCA/CET
originate, COCA/CET/TOEFL
outdoor, COCA/CET
outdoors, COCA/CET/HS
outer, COCA/CET/HS
outfit, COCA/CET/TOEFL
outgoing, GRE/COCA/CET/HS
outing, COCA/CET/HS/TOEFL
outlaw, COCA/CET
outlet, GRE/COCA/CET
outline, HS/GRE/COCA/CET/TOEFL
outlook, COCA/CET
output, COCA/CET/HS/TOEFL
outrage, GRE/COCA/CET/TOEFL
outset, GRE/COCA/CET
outside, COCA/CET/HS
outskirts, GRE/COCA/CET
outstanding, COCA/CET/HS/TOEFL
outward, COCA/CET/HS
oval, COCA/CET/HS
oven, COCA/CET
over, COCA/CET/HS
overall, COCA/CET
overcoat, COCA/CET/HS
overcome, COCA/CET/HS/TOEFL
overdue, GRE/COCA/CET/TOEFL
overflow, GRE/COCA/CET/TOEFL
overhaul, GRE/COCA/CET/TOEFL
overhead, COCA/CET/HS
overhear, COCA/CET
outrageous, COCA/CET/TOEFL
outsider, COCA/CET
outwards, CET/HS
overlap, GRE/COCA/CET/TOEFL
overlook, HS/GRE/COCA/CET/TOEFL
overnight, COCA/CET
override, GRE/COCA/CET
overseas, COCA/CET/TOEFL
oversee, GRE/COCA/CET
oversight, GRE/COCA/CET
overstate, GRE/COCA/CET
overt, GRE/COCA/CET
overtake, COCA/CET
overthrow, GRE/COCA/CET
overtime, COCA/CET
overturn, GRE/COCA/CET
overwhelm, GRE/COCA/CET/TOEFL
overwhelming, COCA/CET
overwhelmingly, COCA/CET
owe, COCA/CET/HS
owing to, CET
owl, GRE/COCA/CET/TOEFL
own, COCA/CET/HS
owner, COCA/CET/HS
ownership, COCA/CET/HS
ox, CET/HS
oxide, COCA/CET/TOEFL
oxygen, COCA/CET/HS/TOEFL
ozone, COCA/CET
pace, COCA/CET/HS
pack, HS/GRE/COCA/CET/TOEFL
package, COCA/CET/HS
packet, COCA/CET/HS
pact, GRE/COCA/CET/TOEFL
pad, COCA/CET
paddy, COCA/CET
page, COCA/CET/HS
pain, COCA/CET/HS
painful, COCA/CET/HS
paint, COCA/CET/HS
painting, COCA/CET/HS
painter, COCA/CET/HS
pair, COCA/CET/HS
palace, COCA/CET/HS
pale, COCA/CET/HS/TOEFL
palm, COCA/CET
pamphlet, GRE/COCA/CET/TOEFL
pan, GRE/COCA/CET/HS
panda, COCA/CET/HS
panel, GRE/COCA/CET/TOEFL
panic, HS/GRE/COCA/CET/TOEFL
panorama, GRE/COCA/CET
panoramic, GRE/COCA/CET
pant, COCA/CET
pants, TOEFL/CET
paper, COCA/CET/HS
paperback, COCA/CET
parachute, COCA/CET
parade, COCA/CET/TOEFL
paradigm, GRE/COCA/CET
paradise, COCA/CET
paradox, GRE/COCA/CET
paragraph, COCA/CET/HS
parallel, HS/GRE/COCA/CET/TOEFL
paradoxical, COCA/CET
paralyze, GRE/COCA/CET/TOEFL
paralyse, CET
paralysis, COCA/CET
parameter, GRE/COCA/CET
parasite, GRE/COCA/CET/TOEFL
parcel, COCA/CET/HS
pardon, COCA/CET/HS
parent, COCA/CET/HS
parental, COCA/CET
parenting, COCA/CET
parish, COCA/CET
park, COCA/CET/HS
parking, COCA/CET/HS
parliament, COCA/CET/TOEFL
parliamentary, COCA/CET
parole, COCA/CET
parrot, COCA/CET/HS
part, COCA/CET/HS
partial, GRE/COCA/CET/TOEFL
partially, COCA/CET/TOEFL
participate, COCA/CET/HS/TOEFL
participation, COCA/CET
participant, COCA/CET
particle, COCA/CET/TOEFL
particular, HS/GRE/COCA/CET/TOEFL
particularly, COCA/CET
partisan, GRE/COCA/CET/TOEFL
partition, GRE/COCA/CET
partly, COCA/CET/HS
partner, COCA/CET/HS
partnership, COCA/CET
party, COCA/CET/HS/TOEFL
pass, COCA/CET/HS
passage, COCA/CET/HS/TOEFL
passenger, COCA/CET/HS
passerby, CET
passion, COCA/CET/TOEFL
passionate, GRE/COCA/CET/TOEFL
passive, HS/GRE/COCA/CET/TOEFL
passport, COCA/CET/HS
password, COCA/CET
past, COCA/CET/HS
pasta, COCA/CET
paste, COCA/CET/TOEFL
pastime, COCA/CET
pastry, GRE/COCA/CET
pasture, COCA/CET/TOEFL
pat, GRE/COCA/CET
patch, GRE/COCA/CET/TOEFL
patent, HS/GRE/COCA/CET/TOEFL
path, COCA/CET/HS/TOEFL
pathetic, GRE/COCA/CET
patient, COCA/CET/HS
patience, COCA/CET/HS
patriot, GRE/COCA/CET/TOEFL
patriotic, COCA/CET
patriotism, GRE/COCA/CET
patrol, COCA/CET
patron, COCA/CET/TOEFL
patronize, GRE/COCA/CET
patronise, CET
patronage, GRE/COCA/CET/TOEFL
pattern, COCA/CET/HS/TOEFL
pause, COCA/CET/HS
pave, COCA/CET/TOEFL
pavement, COCA/CET/HS
paw, COCA/CET
pay, COCA/CET/HS
payment, COCA/CET
payroll, COCA/CET
pea, COCA/CET/HS
peace, COCA/CET/HS
peaceful, COCA/CET/HS
peach, COCA/CET/HS
peak, GRE/COCA/CET/TOEFL
peanut, COCA/CET
pear, COCA/CET/HS
pearl, COCA/CET
peasant, COCA/CET
peck, GRE/COCA/CET/TOEFL
peculiar, COCA/CET/TOEFL
peculiarity, COCA/CET
pedal, GRE/COCA/CET
peddle, GRE/COCA/CET
pedestrian, GRE/COCA/CET/HS
peel, GRE/COCA/CET
peep, GRE/COCA/CET
peer, GRE/COCA/CET
peg, COCA/CET
pen, GRE/COCA/CET/HS
penalty, GRE/COCA/CET
penalize, GRE/COCA/CET
penalise, CET
pencil, COCA/CET/HS
pending, GRE/COCA/CET/TOEFL
pendulum, GRE/COCA/CET
penetrate, GRE/COCA/CET/TOEFL
penetration, GRE/COCA/CET
penguin, COCA/CET
peninsula, GRE/COCA/CET/TOEFL
penny, CET/HS
pension, GRE/COCA/CET/HS
pensioner, CET
people, COCA/CET/HS
pepper, COCA/CET/HS
per, COCA/CET/HS
perceive, COCA/CET/TOEFL
perception, GRE/COCA/CET
perceptive, COCA/CET/TOEFL
percent, CET/HS
percentage, COCA/CET/HS
perch, GRE/COCA/CET
perfect, COCA/CET/HS/TOEFL
perfection, COCA/CET
perform, COCA/CET/HS/TOEFL
performance, COCA/CET/HS
performer, COCA/CET/HS
perfume, COCA/CET/HS/TOEFL
perhaps, COCA/CET/HS
peril, GRE/COCA/CET/TOEFL
perilous, GRE/COCA/CET/TOEFL
period, COCA/CET/HS
periodic, COCA/CET/TOEFL
periodical, GRE/COCA/CET
perish, GRE/COCA/CET/TOEFL
permanent, HS/GRE/COCA/CET/TOEFL
permanence, GRE/COCA/CET
permeate, GRE/COCA/CET/TOEFL
permeation, CET
permit, COCA/CET/HS/TOEFL
permission, COCA/CET/HS
permissible, COCA/CET/TOEFL
permissive, GRE/COCA/CET/TOEFL
perpetual, GRE/COCA/CET
perpetuate, GRE/COCA/CET/TOEFL
perplex, COCA/CET/TOEFL
perplexity, CET
persecute, GRE/COCA/CET
persecution, COCA/CET
persevere, COCA/CET/TOEFL
perseverance, COCA/CET
persist, COCA/CET/TOEFL
persistent, COCA/CET/TOEFL
persistence, GRE/COCA/CET
person, COCA/CET/HS
personal, COCA/CET/HS/TOEFL
personally, COCA/CET/HS
personality, COCA/CET/TOEFL
personnel, HS/GRE/COCA/CET/TOEFL
perspective, GRE/COCA/CET/TOEFL
persuade, COCA/CET/HS
persuasion, COCA/CET
persuasive, COCA/CET/TOEFL
pessimism, GRE/COCA/CET
pessimistic, COCA/CET
pessimist, COCA/CET
pest, GRE/COCA/CET/HS
pesticide, GRE/COCA/CET/TOEFL
pet, COCA/CET/HS
petition, GRE/COCA/CET/TOEFL
petitioner, GRE/COCA/CET
petrochemical, CET
petroleum, GRE/COCA/CET/TOEFL
petty, GRE/COCA/CET
pharmacy, COCA/CET/TOEFL
pharmaceutical, GRE/COCA/CET
phase, COCA/CET/TOEFL
phenomenon, COCA/CET/HS/TOEFL
philosophy, COCA/CET/TOEFL
philosophical, COCA/CET
philosopher, COCA/CET
photo, COCA/CET/HS
photograph, COCA/CET/HS
photographic, COCA/CET
photographer, COCA/CET/HS
photography, COCA/CET/TOEFL
phrase, COCA/CET/HS
phrasal, CET
physical, COCA/CET/HS/TOEFL
physician, COCA/CET/HS/TOEFL
physics, COCA/CET/HS
physicist, COCA/CET/HS
physiological, GRE/COCA/CET
piano, GRE/COCA/CET/HS
pianist, COCA/CET/HS
pick, COCA/CET/HS
picky, COCA/CET
picnic, COCA/CET/HS
picture, COCA/CET/HS
picturesque, COCA/CET/TOEFL
pie, COCA/CET/HS
piece, COCA/CET/HS
pierce, GRE/COCA/CET/TOEFL
pig, COCA/CET/HS
pigeon, COCA/CET/TOEFL
pile, COCA/CET/HS
pilgrim, GRE/COCA/CET
pilgrimage, COCA/CET
pill, COCA/CET/HS
pillar, GRE/COCA/CET
pillow, COCA/CET/HS
pilot, HS/GRE/COCA/CET/TOEFL
pin, COCA/CET/HS
pinch, GRE/COCA/CET
pine, HS/GRE/COCA/CET/TOEFL
pink, COCA/CET/HS
pint, CET/HS
pioneer, COCA/CET/HS/TOEFL
pipe, COCA/CET/HS/TOEFL
pirate, GRE/COCA/CET
piracy, COCA/CET/TOEFL
pistol, GRE/COCA/CET
pit, COCA/CET/TOEFL
pitch, GRE/COCA/CET/TOEFL
pity, COCA/CET/HS
pizza, COCA/CET
place, COCA/CET/HS
placement, COCA/CET
plague, GRE/COCA/CET/TOEFL
plain, HS/GRE/COCA/CET/TOEFL
plaintiff, GRE/COCA/CET/TOEFL
plan, COCA/CET/HS
planning, COCA/CET
planner, COCA/CET
plane, GRE/COCA/CET/HS
planet, HS/GRE/COCA/CET/TOEFL
planetary, COCA/CET
plant, COCA/CET/HS
plantation, COCA/CET
plastic, COCA/CET/HS
plate, COCA/CET/HS/TOEFL
plateau, GRE/COCA/CET/TOEFL
platform, COCA/CET/HS
plausible, GRE/COCA/CET/TOEFL
play, COCA/CET/HS
playground, COCA/CET/HS
plaza, GRE/COCA/CET
plea, COCA/CET/TOEFL
plead, GRE/COCA/CET/TOEFL
please, COCA/CET/HS
pledge, GRE/COCA/CET/TOEFL
plenty, COCA/CET/HS
plight, GRE/COCA/CET/TOEFL
plot, HS/GRE/COCA/CET/TOEFL
player, COCA/CET
pleasure, COCA/CET/HS/TOEFL
plentiful, COCA/CET
pleasant, COCA/CET/HS
pleasing, COCA/CET/TOEFL
plough, GRE/CET
plow, COCA/CET/TOEFL
plug, COCA/CET/HS
plumber, GRE/COCA/CET
plumbing, COCA/CET
plunge, GRE/COCA/CET/TOEFL
plural, COCA/CET
plus, COCA/CET/HS
pocket, COCA/CET/HS
podcast, CET
poem, COCA/CET/HS
poetry, COCA/CET
poet, COCA/CET/HS
poetic, COCA/CET
point, COCA/CET/HS
pointless, COCA/CET
poise, GRE/COCA/CET/TOEFL
poised, CET
poison, COCA/CET/HS
poisonous, GRE/COCA/CET/HS
poke, GRE/COCA/CET
pole, COCA/CET/HS/TOEFL
polar, GRE/COCA/CET/TOEFL
police, COCA/CET/HS
policeman, COCA/CET/HS
policy, COCA/CET/HS/TOEFL
polish, HS/GRE/COCA/CET/TOEFL
polite, COCA/CET/HS
politeness, COCA/CET
politics, COCA/CET/HS/TOEFL
political, COCA/CET/HS
politician, COCA/CET/HS
poll, GRE/COCA/CET
pollster, GRE/COCA/CET
pollute, COCA/CET/HS/TOEFL
pollution, COCA/CET/HS
pollutant, COCA/CET/TOEFL
polytechnic, CET
pond, COCA/CET/HS
ponder, GRE/COCA/CET/TOEFL
pool, COCA/CET/HS
poor, COCA/CET/HS
pop, GRE/COCA/CET/HS
popular, COCA/CET/HS/TOEFL
population, COCA/CET/HS
porcelain, GRE/COCA/CET
porch, COCA/CET
pork, COCA/CET/HS
porridge, GRE/COCA/CET/HS
port, COCA/CET/HS
portfolio, GRE/COCA/CET
portion, COCA/CET/TOEFL
portray, GRE/COCA/CET/TOEFL
pose, GRE/COCA/CET/TOEFL
position, COCA/CET/HS/TOEFL
positive, COCA/CET/HS/TOEFL
possess, COCA/CET/HS/TOEFL
possible, COCA/CET/HS
poverty, COCA/CET/TOEFL
popularity, COCA/CET
populous, GRE/COCA/CET
portable, HS/GRE/COCA/CET/TOEFL
portrayal, COCA/CET
posture, GRE/COCA/CET/TOEFL
possession, COCA/CET/HS
possibility, COCA/CET/HS
populate, COCA/CET/TOEFL
porter, COCA/CET/HS
portrait, COCA/CET/TOEFL
possessive, CET
possibly, COCA/CET
post, COCA/CET/HS
postage, COCA/CET/HS
postman, CET/HS
postcard, COCA/CET/HS
poster, HS/GRE/COCA/CET/TOEFL
postpone, HS/GRE/COCA/CET/TOEFL
postponement, CET
pot, COCA/CET/HS
potato, COCA/CET/HS
potent, COCA/CET/TOEFL
potential, HS/GRE/COCA/CET/TOEFL
potentiality, CET
pottery, GRE/COCA/CET
poultry, COCA/CET/TOEFL
pound, HS/GRE/COCA/CET/TOEFL
pour, COCA/CET/HS
powder, COCA/CET/HS/TOEFL
power, COCA/CET/HS
practise, CET/HS
practice, COCA/CET/HS
powerful, COCA/CET/HS
practicable, CET
practical, COCA/CET/HS/TOEFL
practicality, COCA/CET
practitioner, GRE/COCA/CET
praise, COCA/CET/HS
pray, COCA/CET/HS
prayer, COCA/CET/HS
preach, GRE/COCA/CET/TOEFL
preacher, COCA/CET
precaution, COCA/CET
precautionary, CET
precede, GRE/COCA/CET/TOEFL
preceding, COCA/CET
precedent, COCA/CET
precious, COCA/CET/HS/TOEFL
precise, HS/GRE/COCA/CET/TOEFL
predator, GRE/COCA/CET/TOEFL
predecessor, GRE/COCA/CET/TOEFL
predict, COCA/CET/HS/TOEFL
predominate, GRE/COCA/CET/TOEFL
preface, GRE/COCA/CET
prefer, COCA/CET/HS
pregnant, HS/GRE/COCA/CET/TOEFL
prejudice, GRE/COCA/CET/HS
preliminary, GRE/COCA/CET/TOEFL
premature, GRE/COCA/CET
premier, COCA/CET/HS
premise, GRE/COCA/CET/TOEFL
premium, GRE/COCA/CET
preoccupy, CET
prepare, COCA/CET/HS
preposition, GRE/CET
prerequisite, GRE/COCA/CET/TOEFL
prescribe, GRE/COCA/CET/TOEFL
precision, COCA/CET
predatory, COCA/CET
prediction, COCA/CET
predominance, CET
preferable, COCA/CET/TOEFL
pregnancy, COCA/CET
preoccupied, COCA/CET
preparation, COCA/CET/HS
prescription, HS/GRE/COCA/CET/TOEFL
precisely, COCA/CET
predictable, COCA/CET
predominant, GRE/COCA/CET
preference, COCA/CET/HS/TOEFL
preparatory, COCA/CET
preferential, COCA/CET
present, COCA/CET/HS
presence, COCA/CET
presentation, GRE/COCA/CET/HS
presently, COCA/CET
preserve, COCA/CET/HS/TOEFL
preservation, COCA/CET
preservative, GRE/COCA/CET
preside, GRE/COCA/CET
president, COCA/CET/HS/TOEFL
presidency, COCA/CET/TOEFL
presidential, COCA/CET
press, HS/GRE/COCA/CET/TOEFL
pressure, COCA/CET/HS/TOEFL
pressing, GRE/COCA/CET
prestige, GRE/COCA/CET/TOEFL
prestigious, GRE/COCA/CET/TOEFL
presume, GRE/COCA/CET/TOEFL
pretend, HS/GRE/COCA/CET/TOEFL
presumption, GRE/COCA/CET/TOEFL
pretense, COCA/CET
pretence, GRE/CET
presumably, COCA/CET
pretext, GRE/COCA/CET
pretty, COCA/CET/HS
prevail, GRE/COCA/CET/TOEFL
prevalence, COCA/CET
prevalent, COCA/CET/TOEFL
prevent, COCA/CET/HS/TOEFL
prevention, COCA/CET
preventive, COCA/CET
preview, GRE/COCA/CET/HS
previous, GRE/COCA/CET/TOEFL
prey, GRE/COCA/CET/TOEFL
price, COCA/CET/HS
priceless, COCA/CET
pride, COCA/CET/HS
proud, COCA/CET/HS
priest, COCA/CET
primary, COCA/CET/HS/TOEFL
primarily, COCA/CET
prime, GRE/COCA/CET/TOEFL
primitive, COCA/CET/HS/TOEFL
prince, COCA/CET
princess, COCA/CET
principal, GRE/COCA/CET/TOEFL
principle, HS/GRE/COCA/CET/TOEFL
print, COCA/CET/HS
printer, COCA/CET
printing, COCA/CET
prior, COCA/CET/TOEFL
priority, GRE/COCA/CET/TOEFL
prison, COCA/CET/HS
private, COCA/CET/HS
prisoner, COCA/CET/HS
privacy, COCA/CET
privatize, COCA/CET
privatise, CET
privatization, COCA/CET
privatisation, CET
privilege, HS/GRE/COCA/CET/TOEFL
privileged, COCA/CET
prize, COCA/CET/HS/TOEFL
probable, COCA/CET
probability, COCA/CET
probably, COCA/CET/HS
probe, GRE/COCA/CET/TOEFL
problem, COCA/CET/HS
problematic, COCA/CET
procedure, COCA/CET/HS/TOEFL
proceed, COCA/CET/TOEFL
proceedings, COCA/CET
process, COCA/CET/HS/TOEFL
processor, COCA/CET
procession, GRE/COCA/CET
proclaim, GRE/COCA/CET/TOEFL
proclamation, GRE/COCA/CET
produce, GRE/COCA/CET/HS
production, COCA/CET/HS
productive, COCA/CET
productivity, GRE/COCA/CET/TOEFL
product, COCA/CET/HS
profession, COCA/CET/HS/TOEFL
professional, COCA/CET/TOEFL
professor, COCA/CET/HS
proficient, GRE/COCA/CET/TOEFL
proficiency, COCA/CET
profile, GRE/COCA/CET/TOEFL
profit, COCA/CET/HS
profitable, COCA/CET
profound, GRE/COCA/CET/TOEFL
program, COCA/CET/HS
programme, CET/HS
progress, COCA/CET/HS/TOEFL
progressive, COCA/CET/TOEFL
progression, COCA/CET
prohibit, COCA/CET/HS
prohibition, COCA/CET
prohibitive, GRE/COCA/CET
project, COCA/CET/HS/TOEFL
projector, GRE/COCA/CET
projection, GRE/COCA/CET
prolong, GRE/COCA/CET/TOEFL
prominent, GRE/COCA/CET/TOEFL
prominence, COCA/CET
promise, COCA/CET/HS
promising, COCA/CET/TOEFL
promote, HS/GRE/COCA/CET/TOEFL
promotion, COCA/CET
prompt, GRE/COCA/CET/TOEFL
prone, GRE/COCA/CET/TOEFL
pronoun, COCA/CET
pronounce, COCA/CET/HS
pronunciation, COCA/CET/HS
proof, COCA/CET/TOEFL
proofread, GRE/TOEFL/CET
prop, GRE/COCA/CET/TOEFL
propaganda, COCA/CET
propagate, GRE/COCA/CET/TOEFL
propagation, GRE/COCA/CET
propel, GRE/COCA/CET/TOEFL
propeller, GRE/COCA/CET
proper, COCA/CET/HS/TOEFL
property, COCA/CET/TOEFL
proportion, COCA/CET/TOEFL
proportional, COCA/CET
propose, COCA/CET/TOEFL
proposal, GRE/COCA/CET/TOEFL
proposition, GRE/COCA/CET
prose, GRE/COCA/CET/TOEFL
prosecute, GRE/COCA/CET/TOEFL
prosecution, GRE/COCA/CET
prospect, GRE/COCA/CET/TOEFL
prospective, COCA/CET/TOEFL
prosper, COCA/CET/TOEFL
prosperity, GRE/COCA/CET/TOEFL
prosperous, GRE/COCA/CET/TOEFL
protect, COCA/CET/HS
protection, COCA/CET/HS
protective, COCA/CET
protein, COCA/CET/TOEFL
protest, GRE/COCA/CET/TOEFL
protocol, GRE/COCA/CET
prototype, GRE/COCA/CET/TOEFL
prove, COCA/CET/HS
proverb, COCA/CET
proverbial, COCA/CET
provide, COCA/CET/HS/TOEFL
provision, GRE/COCA/CET/TOEFL
provided, COCA/CET
province, COCA/CET/HS
provincial, GRE/COCA/CET
provoke, COCA/CET/TOEFL
provocation, GRE/COCA/CET
provocative, COCA/CET
proximate, GRE/CET
proximity, COCA/CET/TOEFL
psychiatry, COCA/CET
psychiatric, COCA/CET
psychiatrist, COCA/CET
psychology, HS/GRE/COCA/CET/TOEFL
psychological, COCA/CET
psychologist, COCA/CET
pub, COCA/CET/HS
public, COCA/CET/HS
publicize, GRE/COCA/CET/TOEFL
publicise, CET
publicity, COCA/CET
publicly, COCA/CET
publish, COCA/CET/HS
publication, COCA/CET/TOEFL
pudding, COCA/CET
pull, COCA/CET/HS
pulse, HS/GRE/COCA/CET/TOEFL
pump, COCA/CET/HS/TOEFL
pumpkin, COCA/CET
punch, GRE/COCA/CET/TOEFL
punctual, TOEFL/CET/HS
punctuality, CET
punish, COCA/CET/HS
punishment, COCA/CET/HS
pupil, COCA/CET/HS/TOEFL
purchase, HS/GRE/COCA/CET/TOEFL
pure, COCA/CET/HS/TOEFL
purity, GRE/COCA/CET/TOEFL
purify, GRE/COCA/CET
purple, COCA/CET/HS/TOEFL
purpose, COCA/CET/HS
purposeful, COCA/CET
purse, GRE/COCA/CET/HS
pursue, GRE/COCA/CET/TOEFL
pursuit, COCA/CET/TOEFL
push, COCA/CET/HS
pushy, GRE/COCA/CET
put, COCA/CET/HS
puzzle, COCA/CET/HS
puzzlement, COCA/CET
pyramid, COCA/CET/HS/TOEFL
quake, COCA/CET/HS
qualify, COCA/CET/TOEFL
qualification, COCA/CET/HS
quality, COCA/CET/HS/TOEFL
qualitative, COCA/CET
quantify, COCA/CET/TOEFL
quantification, CET
quantity, COCA/CET/HS
quantitative, COCA/CET/TOEFL
quarrel, COCA/CET/HS
quarrelsome, CET
quart, CET
quarter, COCA/CET/HS/TOEFL
quarterly, COCA/CET
queen, COCA/CET/HS
query, GRE/COCA/CET/TOEFL
quest, GRE/COCA/CET
question, COCA/CET/HS
questionnaire, COCA/CET/HS/TOEFL
queue, GRE/COCA/CET/HS
quick, COCA/CET/HS
quiet, COCA/CET/HS
quit, COCA/CET/HS/TOEFL
quite, COCA/CET/HS
quiver, GRE/COCA/CET/TOEFL
quiz, COCA/CET/HS/TOEFL
quota, GRE/COCA/CET/TOEFL
quote, GRE/COCA/CET/TOEFL
quotation, COCA/CET
rabbit, COCA/CET/HS
race, COCA/CET/HS
racial, COCA/CET/HS
racism, COCA/CET
racist, COCA/CET
rack, GRE/COCA/CET
radar, COCA/CET/TOEFL
radiate, COCA/CET/TOEFL
radiation, COCA/CET/HS
radiator, COCA/CET
radiant, COCA/CET/TOEFL
radical, GRE/COCA/CET/TOEFL
radio, COCA/CET/HS
radioactive, COCA/CET/HS/TOEFL
radioactivity, CET
rag, GRE/COCA/CET/HS
ragged, GRE/COCA/CET/TOEFL
raggedly, CET
rage, GRE/COCA/CET/TOEFL
raging, COCA/CET
raid, GRE/COCA/CET/TOEFL
rail, GRE/COCA/CET/HS
railway, COCA/CET/HS
railroad, COCA/CET
rain, COCA/CET/HS
rainy, COCA/CET/HS
rainbow, COCA/CET/HS/TOEFL
raincoat, COCA/CET/HS
raise, COCA/CET/HS/TOEFL
rally, GRE/COCA/CET/TOEFL
ranch, COCA/CET/TOEFL
random, HS/GRE/COCA/CET/TOEFL
range, COCA/CET/HS/TOEFL
rank, COCA/CET/HS/TOEFL
rap, COCA/CET/TOEFL
rape, COCA/CET
